Date,Period,rate,rate_vs
2026-01-01,1m,0.0,0.0
2026-02-01,1m,-11.8572,1.3481
2026-02-27,1m,-9.5842,-0.1825
2025-11-01,3m,0.0,0.0
2025-12-01,3m,0.0706,-0.3421
2026-01-01,3m,3.4473,0.3183
2026-02-01,3m,-9.7707,1.6308
2026-02-27,3m,-10.9059,0.3869
2025-08-01,6m,0.0,0.0
2025-09-01,6m,5.2265,3.6814
2025-10-01,6m,-4.5009,5.7777
2025-11-01,6m,-9.1029,5.9249
2025-12-01,6m,-6.6931,4.1656
2026-01-01,6m,-2.0982,3.8709
2026-02-01,6m,-13.3265,4.7048
2026-02-27,6m,-14.8333,3.1846
2025-02-01,1y,0.0,0.0
2025-03-01,1y,3.3155,-1.3637
2025-04-01,1y,-0.5866,-5.9499
2025-05-01,1y,-4.6696,-4.4561
2025-06-01,1y,7.7971,1.9809
2025-07-01,1y,11.1403,6.768
2025-08-01,1y,5.5636,6.3077
2025-09-01,1y,10.3397,9.3815
2025-10-01,1y,1.5247,12.4342
2025-11-01,1y,-4.9988,13.2943
2025-12-01,1y,-4.3459,11.6835
2026-01-01,1y,-0.6347,11.2102
2026-02-01,1y,-12.2897,11.8657
2026-02-27,1y,-14.7516,10.0559
2024-02-01,2y,0.0,0.0
2024-03-01,2y,-8.3066,4.7367
2024-04-01,2y,-2.0971,5.1983
2024-05-01,2y,-11.8582,-0.9076
2024-06-01,2y,15.073,4.6246
2024-07-01,2y,12.3078,8.389
2024-08-01,2y,11.79,6.4931
2024-09-01,2y,15.9581,9.5721
2024-10-01,2y,17.0941,10.3747
2024-11-01,2y,19.7588,9.6696
2024-12-01,2y,29.042,14.5959
2025-01-01,2y,12.1757,10.6198
2025-02-01,2y,9.2447,12.6831
2025-03-01,2y,12.2362,10.2867
2025-04-01,2y,8.9492,3.7865
2025-05-01,2y,3.7269,3.0354
2025-06-01,2y,15.6354,8.5308
2025-07-01,2y,20.0259,13.5572
2025-08-01,2y,14.8777,13.5293
2025-09-01,2y,20.1723,17.082
2025-10-01,2y,10.9513,20.7752
2025-11-01,2y,3.5137,22.2112
2025-12-01,2y,3.5259,20.9033
2026-01-01,2y,6.9471,20.6387
2026-02-01,2y,-5.8986,21.5103
2026-02-27,2y,-9.2843,19.6788
2023-02-01,3y,0.0,0.0
2023-03-01,3y,-17.3985,-4.003
2023-04-01,3y,-18.4024,2.7412
2023-05-01,3y,-9.7462,3.3417
2023-06-01,3y,-5.9441,4.0328
2023-07-01,3y,0.649,8.8745
2023-08-01,3y,4.6427,10.5685
2023-09-01,3y,12.2296,7.8302
2023-10-01,3y,-4.3996,1.5533
2023-11-01,3y,-9.6279,0.2593
2023-12-01,3y,24.7412,8.8574
2024-01-01,3y,25.1127,12.3307
2024-02-01,3y,28.9412,14.5711
2024-03-01,3y,16.2984,18.9348
2024-04-01,3y,17.6579,20.8845
2024-05-01,3y,4.1532,14.4718
2024-06-01,3y,31.2522,19.6572
2024-07-01,3y,29.7188,23.8772
2024-08-01,3y,29.863,21.9939
2024-09-01,3y,35.1222,25.434
2024-10-01,3y,37.0397,26.4622
2024-11-01,3y,40.6442,25.7231
2024-12-01,3y,52.0724,31.3137
2025-01-01,3y,32.9536,26.9188
2025-02-01,3y,29.3178,29.1825
2025-03-01,3y,32.522,26.3918
2025-04-01,3y,28.4313,18.7826
2025-05-01,3y,21.9442,17.522
2025-06-01,3y,35.3787,23.3618
2025-07-01,3y,40.3725,28.8313
2025-08-01,3y,34.3116,28.6953
2025-09-01,3y,40.3035,32.6025
2025-10-01,3y,29.464,36.7343
2025-11-01,3y,20.5212,38.3695
2025-12-01,3y,20.1194,36.9054
2026-01-01,3y,23.6805,36.5824
2026-02-01,3y,8.5417,37.528
2026-02-27,3y,4.1546,35.4167
2021-02-01,5y,0.0,0.0
2021-03-01,5y,-6.6465,3.4683
2021-04-01,5y,5.276,5.6108
2021-05-01,5y,4.402,8.0473
2021-06-01,5y,33.2893,6.6351
2021-07-01,5y,24.0012,8.3562
2021-08-01,5y,9.5255,8.9491
2021-09-01,5y,18.1943,10.9516
2021-10-01,5y,10.7499,5.5981
2021-11-01,5y,8.6443,11.2581
2021-12-01,5y,2.8597,7.829
2022-01-01,5y,11.892,13.2783
2022-02-01,5y,10.978,6.9785
2022-03-01,5y,24.3575,1.0534
2022-04-01,5y,14.4517,6.6803
2022-05-01,5y,5.4781,-3.3712
2022-06-01,5y,2.2745,-3.7293
2022-07-01,5y,-6.062,-9.8271
2022-08-01,5y,4.8042,-2.2436
2022-09-01,5y,-3.1145,-5.5982
2022-10-01,5y,-13.4508,-14.2904
2022-11-01,5y,-0.6074,-6.9789
2022-12-01,5y,4.5033,-1.1167
2023-01-01,5y,-5.9266,-6.7587
2023-02-01,5y,2.8104,0.4895
2023-03-01,5y,-15.0885,-3.4593
2023-04-01,5y,-23.5557,1.4
2023-05-01,5y,-20.4343,2.8848
2023-06-01,5y,-18.5032,4.3341
2023-07-01,5y,-13.1905,9.9031
2023-08-01,5y,-9.1797,12.8244
2023-09-01,5y,-1.644,11.1558
2023-10-01,5y,-15.0094,5.3223
2023-11-01,5y,-19.632,4.0061
2023-12-01,5y,10.5598,12.8349
2024-01-01,5y,12.6224,16.9284
2024-02-01,5y,17.6807,19.8835
