Date,Period,rate,rate_vs
2026-01-01,1m,0.0,0.0
2026-02-01,1m,-19.9434,1.3481
2026-02-27,1m,-17.439,-0.1825
2025-11-01,3m,0.0,0.0
2025-12-01,3m,-10.6803,-0.3421
2026-01-01,3m,7.8146,0.3183
2026-02-01,3m,-15.7152,1.6308
2026-02-27,3m,-19.0812,0.3869
2025-08-01,6m,0.0,0.0
2025-09-01,6m,2.0954,3.6814
2025-10-01,6m,-6.9418,5.7777
2025-11-01,6m,5.3382,5.9249
2025-12-01,6m,-7.0337,4.1656
2026-01-01,6m,7.5219,3.8709
2026-02-01,6m,-14.8536,4.7048
2026-02-27,6m,-19.9387,3.1846
2025-02-01,1y,0.0,0.0
2025-03-01,1y,-12.92,-1.3637
2025-04-01,1y,-15.1888,-5.9499
2025-05-01,1y,-10.3101,-4.4561
2025-06-01,1y,-9.1139,1.9809
2025-07-01,1y,-4.7362,6.768
2025-08-01,1y,-11.4408,6.3077
2025-09-01,1y,-7.839,9.3815
2025-10-01,1y,-14.1925,12.4342
2025-11-01,1y,-3.4628,13.2943
2025-12-01,1y,-13.3863,11.6835
2026-01-01,1y,0.0787,11.2102
2026-02-01,1y,-19.8123,11.8657
2026-02-27,1y,-25.0312,10.0559
2024-02-01,2y,0.0,0.0
2024-03-01,2y,11.5446,4.7367
2024-04-01,2y,0.978,5.1983
2024-05-01,2y,-10.5564,-0.9076
2024-06-01,2y,-19.6769,4.6246
2024-07-01,2y,-7.9392,8.389
2024-08-01,2y,-7.6348,6.4931
2024-09-01,2y,-6.6176,9.5721
2024-10-01,2y,1.0394,10.3747
2024-11-01,2y,9.798,9.6696
2024-12-01,2y,21.8296,14.5959
2025-01-01,2y,21.5573,10.6198
2025-02-01,2y,22.3923,12.6831
2025-03-01,2y,5.1777,10.2867
2025-04-01,2y,-4.9282,3.7865
2025-05-01,2y,-4.7666,3.0354
2025-06-01,2y,-5.8796,8.5308
2025-07-01,2y,-2.9155,13.5572
2025-08-01,2y,-10.3301,13.5293
2025-09-01,2y,-7.8094,17.082
2025-10-01,2y,-14.7014,20.7752
2025-11-01,2y,-4.9869,22.2112
2025-12-01,2y,-14.8511,20.9033
2026-01-01,2y,-2.236,20.6387
2026-02-01,2y,-21.584,21.5103
2026-02-27,2y,-27.2597,19.6788
2023-02-01,3y,0.0,0.0
2023-03-01,3y,-2.6989,-4.003
2023-04-01,3y,17.708,2.7412
2023-05-01,3y,10.6587,3.3417
2023-06-01,3y,16.2172,4.0328
2023-07-01,3y,12.0837,8.8745
2023-08-01,3y,16.8305,10.5685
2023-09-01,3y,13.014,7.8302
2023-10-01,3y,1.9482,1.5533
2023-11-01,3y,2.2875,0.2593
2023-12-01,3y,30.1195,8.8574
2024-01-01,3y,28.9106,12.3307
2024-02-01,3y,36.4244,14.5711
2024-03-01,3y,49.1891,18.9348
2024-04-01,3y,39.1316,20.8845
2024-05-01,3y,21.3541,14.4718
2024-06-01,3y,4.7151,19.6572
2024-07-01,3y,14.1293,23.8772
2024-08-01,3y,12.1223,21.9939
2024-09-01,3y,11.4084,25.434
2024-10-01,3y,18.8836,26.4622
2024-11-01,3y,28.3675,25.7231
2024-12-01,3y,42.2808,31.3137
2025-01-01,3y,42.4554,26.9188
2025-02-01,3y,43.7833,29.1825
2025-03-01,3y,23.8017,26.3918
2025-04-01,3y,11.475,18.7826
2025-05-01,3y,10.8597,17.522
2025-06-01,3y,8.8439,23.3618
2025-07-01,3y,11.5506,28.8313
2025-08-01,3y,2.5072,28.6953
2025-09-01,3y,4.6739,32.6025
2025-10-01,3y,-3.6921,36.7343
2025-11-01,3y,6.5291,38.3695
2025-12-01,3y,-4.9277,36.9054
2026-01-01,3y,8.4987,36.5824
2026-02-01,3y,-13.2443,37.528
2026-02-27,3y,-20.07,35.4167
2021-02-01,5y,0.0,0.0
2021-03-01,5y,-4.875,3.4683
2021-04-01,5y,-1.9585,5.6108
2021-05-01,5y,3.8936,8.0473
2021-06-01,5y,5.5221,6.6351
2021-07-01,5y,8.2784,8.3562
2021-08-01,5y,5.5513,8.9491
