Date,Period,rate,rate_vs
2026-01-01,1m,0.0,0.0
2026-02-01,1m,-4.4962,1.3481
2026-02-27,1m,5.327,-0.1825
2025-11-01,3m,0.0,0.0
2025-12-01,3m,10.0612,-0.3421
2026-01-01,3m,4.0556,0.3183
2026-02-01,3m,-1.8478,1.6308
2026-02-27,3m,6.2835,0.3869
2025-08-01,6m,0.0,0.0
2025-09-01,6m,3.7407,3.6814
2025-10-01,6m,5.4377,5.7777
2025-11-01,6m,-5.8292,5.9249
2025-12-01,6m,5.3272,4.1656
2026-01-01,6m,3.3231,3.8709
2026-02-01,6m,-1.7692,4.7048
2026-02-27,6m,6.1542,3.1846
2025-02-01,1y,0.0,0.0
2025-03-01,1y,3.4425,-1.3637
2025-04-01,1y,6.4447,-5.9499
2025-05-01,1y,-0.8925,-4.4561
2025-06-01,1y,5.6646,1.9809
2025-07-01,1y,0.1643,6.768
2025-08-01,1y,-0.0653,6.3077
2025-09-01,1y,3.7715,9.3815
2025-10-01,1y,6.9563,12.4342
2025-11-01,1y,-3.4834,13.2943
2025-12-01,1y,6.7063,11.6835
2026-01-01,1y,5.1525,11.2102
2026-02-01,1y,0.1067,11.8657
2026-02-27,1y,7.9023,10.0559
2024-02-01,2y,0.0,0.0
2024-03-01,2y,-0.1767,4.7367
2024-04-01,2y,12.258,5.1983
2024-05-01,2y,7.505,-0.9076
2024-06-01,2y,4.2496,4.6246
2024-07-01,2y,-0.3609,8.389
2024-08-01,2y,10.1384,6.4931
2024-09-01,2y,17.4492,9.5721
2024-10-01,2y,16.3887,10.3747
2024-11-01,2y,11.0992,9.6696
2024-12-01,2y,25.5072,14.5959
2025-01-01,2y,14.5062,10.6198
2025-02-01,2y,13.0187,12.6831
2025-03-01,2y,15.9814,10.2867
2025-04-01,2y,20.2241,3.7865
2025-05-01,2y,12.9911,3.0354
2025-06-01,2y,19.3557,8.5308
2025-07-01,2y,13.294,13.5572
2025-08-01,2y,12.3413,13.5293
2025-09-01,2y,15.9802,17.082
2025-10-01,2y,19.267,20.7752
2025-11-01,2y,7.5821,22.2112
2025-12-01,2y,18.1399,20.9033
2026-01-01,2y,16.3125,20.6387
2026-02-01,2y,10.5402,21.5103
2026-02-27,2y,18.7084,19.6788
2023-02-01,3y,0.0,0.0
2023-03-01,3y,0.1651,-4.003
2023-04-01,3y,-13.1371,2.7412
2023-05-01,3y,-4.6347,3.3417
2023-06-01,3y,-8.3068,4.0328
2023-07-01,3y,-6.8027,8.8745
2023-08-01,3y,-2.2344,10.5685
2023-09-01,3y,-3.3004,7.8302
2023-10-01,3y,-2.1545,1.5533
2023-11-01,3y,14.2184,0.2593
2023-12-01,3y,20.4535,8.8574
2024-01-01,3y,20.5653,12.3307
2024-02-01,3y,32.6055,14.5711
2024-03-01,3y,29.9897,18.9348
2024-04-01,3y,43.7095,20.8845
2024-05-01,3y,39.9635,14.4718
2024-06-01,3y,35.6968,19.6572
2024-07-01,3y,28.7572,23.8772
2024-08-01,3y,40.4912,21.9939
2024-09-01,3y,49.5243,25.434
2024-10-01,3y,48.4886,26.4622
2024-11-01,3y,41.763,25.7231
2024-12-01,3y,59.6069,31.3137
2025-01-01,3y,45.9557,26.9188
2025-02-01,3y,43.6931,29.1825
2025-03-01,3y,46.9746,26.3918
2025-04-01,3y,51.9794,18.7826
2025-05-01,3y,42.6305,17.522
2025-06-01,3y,50.1399,23.3618
2025-07-01,3y,42.2341,28.8313
2025-08-01,3y,40.562,28.6953
2025-09-01,3y,44.6037,32.6025
2025-10-01,3y,48.293,36.7343
2025-11-01,3y,33.4736,38.3695
2025-12-01,3y,45.9617,36.9054
2026-01-01,3y,43.3707,36.5824
2026-02-01,3y,35.9071,37.528
2026-02-27,3y,45.4647,35.4167
2021-02-01,5y,0.0,0.0
2021-03-01,5y,0.8283,3.4683
2021-04-01,5y,6.8771,5.6108
2021-05-01,5y,14.2554,8.0473
2021-06-01,5y,20.459,6.6351
2021-07-01,5y,12.6213,8.3562
2021-08-01,5y,8.2204,8.9491
2021-09-01,5y,11.1715,10.9516
2021-10-01,5y,4.4076,5.5981
2021-11-01,5y,0.4817,11.2581
2021-12-01,5y,-12.2361,7.829
2022-01-01,5y,-2.4069,13.2783
2022-02-01,5y,-1.3253,6.9785
2022-03-01,5y,1.8389,1.0534
2022-04-01,5y,18.3964,6.6803
2022-05-01,5y,6.248,-3.3712
2022-06-01,5y,12.6772,-3.7293
2022-07-01,5y,9.3082,-9.8271
2022-08-01,5y,-3.3172,-2.2436
2022-09-01,5y,1.9215,-5.5982
2022-10-01,5y,4.4536,-14.2904
