Date,Period,rate,rate_vs
2026-01-01,1m,0.0,0.0
2026-02-01,1m,8.8058,1.3481
2026-02-27,1m,16.3645,-0.1825
2025-11-01,3m,0.0,0.0
2025-12-01,3m,9.1688,-0.3421
2026-01-01,3m,3.6617,0.3183
2026-02-01,3m,11.5371,1.6308
2026-02-27,3m,21.1314,0.3869
2025-08-01,6m,0.0,0.0
2025-09-01,6m,9.5916,3.6814
2025-10-01,6m,-2.8166,5.7777
2025-11-01,6m,-0.6086,5.9249
2025-12-01,6m,8.7519,4.1656
2026-01-01,6m,6.0881,3.8709
2026-02-01,6m,14.4222,4.7048
2026-02-27,6m,25.2793,3.1846
2025-02-01,1y,0.0,0.0
2025-03-01,1y,12.4567,-1.3637
2025-04-01,1y,2.4766,-5.9499
2025-05-01,1y,-0.7215,-4.4561
2025-06-01,1y,10.4075,1.9809
2025-07-01,1y,24.9949,6.768
2025-08-01,1y,17.1091,6.3077
2025-09-01,1y,25.7732,9.3815
2025-10-01,1y,13.6916,12.4342
2025-11-01,1y,13.6485,13.2943
2025-12-01,1y,22.6904,11.6835
2026-01-01,1y,19.6111,11.2102
2026-02-01,1y,28.485,11.8657
2026-02-27,1y,40.8223,10.0559
2024-02-01,2y,0.0,0.0
2024-03-01,2y,0.5001,4.7367
2024-04-01,2y,12.1842,5.1983
2024-05-01,2y,17.2731,-0.9076
2024-06-01,2y,11.8808,4.6246
2024-07-01,2y,5.3455,8.389
2024-08-01,2y,18.0374,6.4931
2024-09-01,2y,22.2833,9.5721
2024-10-01,2y,27.776,10.3747
2024-11-01,2y,12.5854,9.6696
2024-12-01,2y,11.3676,14.5959
2025-01-01,2y,-5.3228,10.6198
2025-02-01,2y,-1.6043,12.6831
2025-03-01,2y,10.8934,10.2867
2025-04-01,2y,6.2694,3.7865
2025-05-01,2y,3.4079,3.0354
2025-06-01,2y,14.5767,8.5308
2025-07-01,2y,31.2352,13.5572
2025-08-01,2y,25.525,13.5293
2025-09-01,2y,36.2229,17.082
2025-10-01,2y,24.7023,20.7752
2025-11-01,2y,25.1614,22.2112
2025-12-01,2y,35.5191,20.9033
2026-01-01,2y,32.8514,20.6387
2026-02-01,2y,43.1993,21.5103
2026-02-27,2y,57.7509,19.6788
2023-02-01,3y,0.0,0.0
2023-03-01,3y,-9.6521,-4.003
2023-04-01,3y,-6.2554,2.7412
2023-05-01,3y,8.3754,3.3417
2023-06-01,3y,8.7543,4.0328
2023-07-01,3y,15.4502,8.8745
2023-08-01,3y,13.6949,10.5685
2023-09-01,3y,25.9849,7.8302
2023-10-01,3y,11.5124,1.5533
2023-11-01,3y,-22.1246,0.2593
2023-12-01,3y,-15.6958,8.8574
2024-01-01,3y,-9.6788,12.3307
2024-02-01,3y,-9.6122,14.5711
2024-03-01,3y,-8.3344,18.9348
2024-04-01,3y,3.2875,20.8845
2024-05-01,3y,11.8181,14.4718
2024-06-01,3y,10.0412,19.6572
2024-07-01,3y,5.3071,23.8772
2024-08-01,3y,18.6802,21.9939
2024-09-01,3y,24.6617,25.434
2024-10-01,3y,31.9874,26.4622
2024-11-01,3y,17.8054,25.7231
2024-12-01,3y,17.0449,31.3137
2025-01-01,3y,-0.1959,26.9188
2025-02-01,3y,3.2534,29.1825
2025-03-01,3y,16.0805,26.3918
2025-04-01,3y,11.4329,18.7826
2025-05-01,3y,8.45,17.522
2025-06-01,3y,20.0796,23.3618
2025-07-01,3y,37.7794,28.8313
2025-08-01,3y,32.332,28.6953
2025-09-01,3y,44.0221,32.6025
2025-10-01,3y,32.3442,36.7343
2025-11-01,3y,33.1053,38.3695
2025-12-01,3y,44.3875,36.9054
2026-01-01,3y,41.9211,36.5824
2026-02-01,3y,53.3015,37.528
2026-02-27,3y,69.3378,35.4167
2021-02-01,5y,0.0,0.0
2021-03-01,5y,0.6412,3.4683
2021-04-01,5y,0.6926,5.6108
2021-05-01,5y,6.0569,8.0473
2021-06-01,5y,1.9103,6.6351
2021-07-01,5y,0.5062,8.3562
2021-08-01,5y,6.8714,8.9491
2021-09-01,5y,5.2455,10.9516
2021-10-01,5y,-5.7482,5.5981
2021-11-01,5y,3.2928,11.2581
2021-12-01,5y,4.8057,7.829
2022-01-01,5y,9.8875,13.2783
2022-02-01,5y,2.0156,6.9785
2022-03-01,5y,2.1647,1.0534
2022-04-01,5y,-9.1526,6.6803
2022-05-01,5y,-2.3658,-3.3712
2022-06-01,5y,-0.6829,-3.7293
2022-07-01,5y,-9.6453,-9.8271
2022-08-01,5y,-8.858,-2.2436
2022-09-01,5y,-8.6759,-5.5982
2022-10-01,5y,-21.9336,-14.2904
2022-11-01,5y,-22.8533,-6.9789
2022-12-01,5y,-23.9712,-1.1167
2023-01-01,5y,-25.6744,-6.7587
2023-02-01,5y,-24.6953,0.4895
2023-03-01,5y,-31.0067,-3.4593
2023-04-01,5y,-30.8357,1.4
2023-05-01,5y,-20.4659,2.8848
2023-06-01,5y,-17.8525,4.3341
2023-07-01,5y,-10.6907,9.9031
2023-08-01,5y,-9.6732,12.8244
2023-09-01,5y,2.2045,11.1558
2023-10-01,5y,-7.1982,5.3223
2023-11-01,5y,-34.2806,4.0061
2023-12-01,5y,-29.7538,12.8349
2024-01-01,5y,-25.0922,16.9284
2024-02-01,5y,-25.0051,19.8835
2024-03-01,5y,-23.8785,25.1213
2024-04-01,5y,-14.0736,27.9606
2024-05-01,5y,-6.3843,21.9019
2024-06-01,5y,-7.0985,27.8663
2024-07-01,5y,-10.4465,32.9611
2024-08-01,5y,1.4932,31.5793
2024-09-01,5y,7.4646,35.8268
2024-10-01,5y,14.7372,37.5167
2024-11-01,5y,3.3104,37.2547
2024-12-01,5y,3.2834,43.853
2025-01-01,5y,-11.4277,39.5864
2025-02-01,5y,-8.126,42.4985
2025-03-01,5y,3.6061,39.8374
2025-04-01,5y,-0.0775,31.7301
2025-05-01,5y,-2.3785,30.4828
2025-06-01,5y,8.4437,37.0833
2025-07-01,5y,24.9676,43.3688
2025-08-01,5y,20.6869,43.4874
2025-09-01,5y,31.9804,48.096
2025-10-01,5y,21.9196,53.0024
2025-11-01,5y,23.1471,55.1559
2025-12-01,5y,34.1346,53.8294
2026-01-01,5y,32.4389,53.7419
2026-02-01,5y,43.6546,55.0595
2026-02-27,5y,59.3901,52.9195
2019-02-01,7y,0.0,0.0
2019-03-01,7y,-3.1372,3.7678
2019-04-01,7y,-4.234,4.265
2019-05-01,7y,16.5207,4.9674
2019-06-01,7y,4.7155,-2.1685
2019-07-01,7y,16.0535,5.9986
2019-08-01,7y,23.0442,4.7303
2019-09-01,7y,15.1909,3.1989
2019-10-01,7y,20.0782,3.5599
2019-11-01,7y,-2.2694,7.703
2019-12-01,7y,3.2891,9.7555
2020-01-01,7y,6.9403,12.095
2020-02-01,7y,3.272,11.0369
2020-03-01,7y,-21.884,1.256
2020-04-01,7y,-27.7228,-15.3739
2020-05-01,7y,-26.5899,-1.605
2020-06-01,7y,-20.6427,6.5063
2020-07-01,7y,-17.1834,8.3207
2020-08-01,7y,-16.8736,13.4194
2020-09-01,7y,-4.6541,21.6915
2020-10-01,7y,-3.2019,15.7219
2020-11-01,7y,-0.9388,11.3363
2020-12-01,7y,15.2339,24.2998
2021-01-01,7y,11.4109,26.4539
2021-02-01,7y,12.7102,26.1056
2021-03-01,7y,13.0293,29.5241
2021-04-01,7y,12.9979,33.3424
2021-05-01,7y,18.8185,37.6318
2021-06-01,7y,15.1952,37.0873
2021-07-01,7y,13.5356,39.7623
2021-08-01,7y,20.3637,41.0252
2021-09-01,7y,18.991,43.9746
2021-10-01,7y,6.7047,37.4279
2021-11-01,7y,15.9422,44.4618
2021-12-01,7y,17.5475,40.1701
2022-01-01,7y,23.243,47.028
2022-02-01,7y,14.681,38.9827
2022-03-01,7y,14.6313,30.9537
2022-04-01,7y,1.7494,37.4949
2022-05-01,7y,8.5784,24.1932
2022-06-01,7y,10.0694,22.8679
2022-07-01,7y,-0.1233,14.3072
2022-08-01,7y,0.1596,22.8124
2022-09-01,7y,-0.1514,17.9473
2022-10-01,7y,-15.0445,6.4049
2022-11-01,7y,-16.825,14.4227
2022-12-01,7y,-18.761,20.8917
2023-01-01,7y,-21.2675,13.5221
2023-02-01,7y,-20.9174,21.6789
2023-03-01,7y,-28.0956,16.4978
2023-04-01,7y,-28.5865,21.8499
2023-05-01,7y,-18.5773,23.2649
2023-06-01,7y,-16.3003,24.6749
2023-07-01,7y,-9.3464,31.0291
2023-08-01,7y,-8.5021,34.3278
2023-09-01,7y,3.349,32.213
2023-10-01,7y,-6.1488,25.1236
2023-11-01,7y,-33.6162,23.3153
2023-12-01,7y,-29.5043,33.5003
2024-01-01,7y,-25.1969,38.206
2024-02-01,7y,-25.3826,41.6171
2024-03-01,7y,-24.5185,47.7564
2024-04-01,7y,-15.0499,51.1216
2024-05-01,7y,-7.5748,44.0014
2024-06-01,7y,-8.3179,51.0057
2024-07-01,7y,-11.6623,57.0426
2024-08-01,7y,0.0386,55.4742
2024-09-01,7y,5.9609,60.5357
2024-10-01,7y,13.2177,62.6077
2024-11-01,7y,2.0618,62.3779
2024-12-01,7y,2.0774,70.2558
