Date,Period,rate,rate_vs
2026-01-01,1m,0.0,0.0
2026-02-01,1m,10.3488,1.3481
2026-02-27,1m,23.2421,-0.1825
2025-11-01,3m,0.0,0.0
2025-12-01,3m,-0.6335,-0.3421
2026-01-01,3m,12.0527,0.3183
2026-02-01,3m,19.2978,1.6308
2026-02-27,3m,34.1729,0.3869
2025-08-01,6m,0.0,0.0
2025-09-01,6m,6.323,3.6814
2025-10-01,6m,-4.7087,5.7777
2025-11-01,6m,-2.352,5.9249
2025-12-01,6m,-2.3135,4.1656
2026-01-01,6m,10.3611,3.8709
2026-02-01,6m,19.9779,4.7048
2026-02-27,6m,37.2928,3.1846
2025-02-01,1y,0.0,0.0
2025-03-01,1y,-5.0031,-1.3637
2025-04-01,1y,-7.5923,-5.9499
2025-05-01,1y,-14.4838,-4.4561
2025-06-01,1y,-5.1999,1.9809
2025-07-01,1y,0.941,6.768
2025-08-01,1y,-15.1448,6.3077
2025-09-01,1y,-7.4018,9.3815
2025-10-01,1y,-13.5812,12.4342
2025-11-01,1y,-11.3383,13.2943
2025-12-01,1y,-10.6941,11.6835
2026-01-01,1y,1.5212,11.2102
2026-02-01,1y,11.9901,11.8657
2026-02-27,1y,30.2006,10.0559
2024-02-01,2y,0.0,0.0
2024-03-01,2y,13.1687,4.7367
2024-04-01,2y,4.7311,5.1983
2024-05-01,2y,-13.7241,-0.9076
2024-06-01,2y,-13.876,4.6246
2024-07-01,2y,-9.2393,8.389
2024-08-01,2y,4.9361,6.4931
2024-09-01,2y,-1.1173,9.5721
2024-10-01,2y,0.1448,10.3747
2024-11-01,2y,3.3202,9.6696
2024-12-01,2y,15.3573,14.5959
2025-01-01,2y,-10.5855,10.6198
2025-02-01,2y,-4.9978,12.6831
2025-03-01,2y,-9.3023,10.2867
2025-04-01,2y,-13.3706,3.7865
2025-05-01,2y,-21.1437,3.0354
2025-06-01,2y,-14.7112,8.5308
2025-07-01,2y,-9.2477,13.5572
2025-08-01,2y,-23.1506,13.5293
2025-09-01,2y,-16.9185,17.082
2025-10-01,2y,-22.4425,20.7752
2025-11-01,2y,-20.7124,22.2112
2025-12-01,2y,-20.204,20.9033
2026-01-01,2y,-9.2743,20.6387
2026-02-01,2y,0.637,21.5103
2026-02-27,2y,17.9466,19.6788
2023-02-01,3y,0.0,0.0
2023-03-01,3y,-7.8746,-4.003
2023-04-01,3y,-3.355,2.7412
2023-05-01,3y,-8.8935,3.3417
