Date,Period,rate,rate_vs
2026-01-01,1m,0.0,0.0
2026-02-01,1m,16.6876,1.3481
2026-02-27,1m,-31.7583,-0.1825
2025-11-01,3m,0.0,0.0
2025-12-01,3m,-2.1803,-0.3421
2026-01-01,3m,3.8611,0.3183
2026-02-01,3m,19.7719,1.6308
2026-02-27,3m,-27.6559,0.3869
2025-08-01,6m,0.0,0.0
2025-09-01,6m,18.2549,3.6814
2025-10-01,6m,14.3124,5.7777
2025-11-01,6m,-8.4624,5.9249
2025-12-01,6m,-8.3216,4.1656
2026-01-01,6m,-1.9562,3.8709
2026-02-01,6m,14.8807,4.7048
2026-02-27,6m,-28.9561,3.1846
2025-02-01,1y,0.0,0.0
2025-03-01,1y,7.2344,-1.3637
2025-04-01,1y,-21.0204,-5.9499
2025-05-01,1y,-17.1179,-4.4561
2025-06-01,1y,-5.0264,1.9809
2025-07-01,1y,-6.2958,6.768
2025-08-01,1y,-34.6123,6.3077
2025-09-01,1y,-16.7624,9.3815
2025-10-01,1y,-10.5851,12.4342
2025-11-01,1y,-24.2845,13.2943
2025-12-01,1y,-23.4932,11.6835
2026-01-01,1y,-17.3886,11.2102
2026-02-01,1y,-1.8235,11.8657
2026-02-27,1y,-38.0502,10.0559
2024-02-01,2y,0.0,0.0
2024-03-01,2y,7.1819,4.7367
2024-04-01,2y,8.6334,5.1983
2024-05-01,2y,7.0967,-0.9076
2024-06-01,2y,10.2442,4.6246
2024-07-01,2y,16.2837,8.389
2024-08-01,2y,3.4331,6.4931
2024-09-01,2y,9.3306,9.5721
2024-10-01,2y,-8.2864,10.3747
2024-11-01,2y,-12.141,9.6696
2024-12-01,2y,-15.0264,14.5959
2025-01-01,2y,-30.4667,10.6198
2025-02-01,2y,-29.2515,12.6831
2025-03-01,2y,-21.6503,10.2867
2025-04-01,2y,-39.0772,3.7865
2025-05-01,2y,-38.7486,3.0354
2025-06-01,2y,-30.6069,8.5308
2025-07-01,2y,-30.485,13.5572
2025-08-01,2y,-50.8554,13.5293
2025-09-01,2y,-38.6639,17.082
2025-10-01,2y,-33.6997,20.7752
2025-11-01,2y,-43.2424,22.2112
2025-12-01,2y,-42.5042,20.9033
2026-01-01,2y,-37.6586,20.6387
2026-02-01,2y,-25.3547,21.5103
2026-02-27,2y,-52.3255,19.6788
2023-02-01,3y,0.0,0.0
2023-03-01,3y,2.6152,-4.003
2023-04-01,3y,15.325,2.7412
2023-05-01,3y,15.9144,3.3417
2023-06-01,3y,5.6007,4.0328
