Date,Period,rate,rate_vs
2026-01-01,1m,0.0,0.0
2026-02-01,1m,-0.9389,1.3481
2026-02-27,1m,-4.7493,-0.1825
2025-11-01,3m,0.0,0.0
2025-12-01,3m,1.9232,-0.3421
2026-01-01,3m,14.68,0.3183
2026-02-01,3m,8.8316,1.6308
2026-02-27,3m,2.0662,0.3869
2025-08-01,6m,0.0,0.0
2025-09-01,6m,5.7094,3.6814
2025-10-01,6m,5.0826,5.7777
2025-11-01,6m,5.9937,5.9249
2025-12-01,6m,6.5859,4.1656
2026-01-01,6m,19.6087,3.8709
2026-02-01,6m,15.347,4.7048
2026-02-27,6m,8.3295,3.1846
2025-02-01,1y,0.0,0.0
2025-03-01,1y,-1.2286,-1.3637
2025-04-01,1y,-12.3562,-5.9499
2025-05-01,1y,-11.3917,-4.4561
2025-06-01,1y,1.8169,1.9809
2025-07-01,1y,16.1792,6.768
2025-08-01,1y,20.7788,6.3077
2025-09-01,1y,24.6461,9.3815
2025-10-01,1y,24.2458,12.4342
2025-11-01,1y,24.6435,13.2943
2025-12-01,1y,24.6432,11.6835
2026-01-01,1y,39.0929,11.2102
2026-02-01,1y,34.6861,11.8657
2026-02-27,1y,26.3972,10.0559
2024-02-01,2y,0.0,0.0
2024-03-01,2y,1.9138,4.7367
2024-04-01,2y,15.1702,5.1983
2024-05-01,2y,6.4201,-0.9076
2024-06-01,2y,9.1457,4.6246
2024-07-01,2y,9.223,8.389
2024-08-01,2y,7.4145,6.4931
2024-09-01,2y,6.2066,9.5721
2024-10-01,2y,4.0207,10.3747
2024-11-01,2y,6.7463,9.6696
2024-12-01,2y,18.9136,14.5959
2025-01-01,2y,16.3905,10.6198
2025-02-01,2y,33.0556,12.6831
2025-03-01,2y,29.0307,10.2867
2025-04-01,2y,12.0074,3.7865
2025-05-01,2y,7.4168,3.0354
2025-06-01,2y,19.0951,8.5308
2025-07-01,2y,35.1149,13.5572
2025-08-01,2y,41.7404,13.5293
2025-09-01,2y,47.6526,17.082
2025-10-01,2y,48.4832,20.7752
2025-11-01,2y,49.9013,22.2112
2025-12-01,2y,50.6181,20.9033
2026-01-01,2y,68.662,20.6387
2026-02-01,2y,64.4045,21.5103
2026-02-27,2y,54.9436,19.6788
2023-02-01,3y,0.0,0.0
2023-03-01,3y,1.5859,-4.003
2023-04-01,3y,-8.2763,2.7412
2023-05-01,3y,-1.7439,3.3417
2023-06-01,3y,-6.3676,4.0328
2023-07-01,3y,-2.5748,8.8745
2023-08-01,3y,0.0265,10.5685
2023-09-01,3y,-8.2565,7.8302
2023-10-01,3y,-8.2658,1.5533
2023-11-01,3y,-10.8047,0.2593
2023-12-01,3y,11.2822,8.8574
2024-01-01,3y,20.0711,12.3307
2024-02-01,3y,29.0233,14.5711
2024-03-01,3y,29.3386,18.9348
2024-04-01,3y,45.2189,20.8845
2024-05-01,3y,37.4697,14.4718
2024-06-01,3y,40.7379,19.6572
2024-07-01,3y,40.8189,23.8772
2024-08-01,3y,38.218,21.9939
2024-09-01,3y,36.0291,25.434
2024-10-01,3y,32.443,26.4622
2024-11-01,3y,34.9169,25.7231
2024-12-01,3y,49.4808,31.3137
2025-01-01,3y,46.3262,26.9188
2025-02-01,3y,67.0382,29.1825
2025-03-01,3y,62.4958,26.3918
2025-04-01,3y,41.2452,18.7826
2025-05-01,3y,34.9604,17.522
2025-06-01,3y,48.8961,23.3618
2025-07-01,3y,68.6062,28.8313
2025-08-01,3y,77.0349,28.6953
2025-09-01,3y,84.6967,32.6025
2025-10-01,3y,86.0799,36.7343
2025-11-01,3y,88.1522,38.3695
2025-12-01,3y,89.3142,36.9054
2026-01-01,3y,112.2404,36.5824
2026-02-01,3y,107.3636,37.528
2026-02-27,3y,95.7655,35.4167
2021-02-01,5y,0.0,0.0
2021-03-01,5y,18.8953,3.4683
2021-04-01,5y,15.0611,5.6108
2021-05-01,5y,8.6838,8.0473
2021-06-01,5y,19.9845,6.6351
2021-07-01,5y,3.2449,8.3562
2021-08-01,5y,-0.0023,8.9491
2021-09-01,5y,5.4378,10.9516
2021-10-01,5y,4.5547,5.5981
2021-11-01,5y,3.979,11.2581
2021-12-01,5y,-6.9797,7.829
2022-01-01,5y,-9.5447,13.2783
2022-02-01,5y,0.5645,6.9785
2022-03-01,5y,-9.2117,1.0534
2022-04-01,5y,-18.3325,6.6803
2022-05-01,5y,-21.2192,-3.3712
2022-06-01,5y,-12.9567,-3.7293
2022-07-01,5y,-21.4513,-9.8271
2022-08-01,5y,-9.0712,-2.2436
2022-09-01,5y,-14.1819,-5.5982
2022-10-01,5y,-26.0435,-14.2904
2022-11-01,5y,-16.5978,-6.9789
2022-12-01,5y,-10.222,-1.1167
2023-01-01,5y,-14.5993,-6.7587
2023-02-01,5y,-0.8368,0.4895
2023-03-01,5y,0.8665,-3.4593
2023-04-01,5y,-8.1989,1.4
2023-05-01,5y,-4.1866,2.8848
2023-06-01,5y,-8.9378,4.3341
2023-07-01,5y,-6.1879,9.9031
2023-08-01,5y,-3.8817,12.8244
2023-09-01,5y,-11.7133,11.1558
2023-10-01,5y,-12.334,5.3223
2023-11-01,5y,-15.2381,4.0061
2023-12-01,5y,5.0457,12.8349
2024-01-01,5y,14.2456,16.9284
2024-02-01,5y,24.0721,19.8835
2024-03-01,5y,25.9066,25.1213
2024-04-01,5y,42.9206,27.9606
2024-05-01,5y,37.1021,21.9019
2024-06-01,5y,41.8321,27.8663
2024-07-01,5y,43.3368,32.9611
2024-08-01,5y,41.9661,31.5793
2024-09-01,5y,40.8096,35.8268
2024-10-01,5y,38.0252,37.5167
2024-11-01,5y,41.3947,37.2547
2024-12-01,5y,57.5167,43.853
2025-01-01,5y,55.2311,39.5864
2025-02-01,5y,78.2441,42.4985
2025-03-01,5y,74.6494,39.8374
2025-04-01,5y,52.7734,31.7301
2025-05-01,5y,46.5741,30.4828
2025-06-01,5y,62.2239,37.0833
2025-07-01,5y,84.4597,43.3688
2025-08-01,5y,94.6811,43.4874
2025-09-01,5y,104.1784,48.096
2025-10-01,5y,106.7984,53.0024
2025-11-01,5y,110.1546,55.1559
2025-12-01,5y,112.4709,53.8294
2026-01-01,5y,139.2915,53.7419
2026-02-01,5y,134.9782,55.0595
2026-02-27,5y,122.8666,52.9195
2019-02-01,7y,0.0,0.0
2019-03-01,7y,2.5675,3.7678
2019-04-01,7y,1.0603,4.265
2019-05-01,7y,9.4333,4.9674
2019-06-01,7y,-2.8349,-2.1685
2019-07-01,7y,11.2154,5.9986
2019-08-01,7y,5.6358,4.7303
